"","ID","band_num","cohort","caught_as","caught","disappeared","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde"
"1","490363-OMN","014-90363","1984","Adult","28-Aug-85","30-Sep-92","Died",6,1,1,NA,NA,NA,NA,NA,NA,"M",12,7,5
"2","529301-BBY","015-29301","1985","Adult","14-Jan-87","10-Sep-89","Died",3,1,1,NA,NA,NA,NA,NA,NA,"M",0,0,0
"3","476403-BWG","014-76403","1986","Juvenile","24-Nov-86","24-Nov-86","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"4","476404-_MO","014-76404","1986","Juvenile","25-Nov-86","25-Nov-86","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"5","476410-BBR","014-76410","1986","Juvenile","28-Nov-86","28-Nov-86","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"6","529302-BYY","015-29302","1986","Adult","14-Jan-87","14-Jan-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"7","529307-BOG","015-29307","1986","Juvenile","16-Jan-87","10-Mar-91","Died",3,1,1,"529303-BGY",NA,"476417-BGB",NA,"476417-BGB",NA,"M",2,0,0
"8","529308-BRO","015-29308","1986","Juvenile","16-Jan-87","16-Jan-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"9","529310-BNG","015-29310","1986","Juvenile","21-Jan-87","31-Mar-87","Unknown",NA,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"10","529313-___11","015-29313","1986","Juvenile","22-Jan-87","22-Jan-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"11","529314-ORR2","015-29314","1986","Juvenile","5-Mar-87","29-Mar-87","Unknown",NA,1,1,"476419-_NB",NA,"476420-BRY",NA,NA,NA,"F",0,0,0
"12","529315-OBY","015-29315","1986","Juvenile","5-Mar-87","7-Apr-93","Died",6,1,1,"476419-_NB",NA,"476420-BRY",NA,"476420-BRY",NA,"M",15,12,4
"13","529316-OBB","015-29316","1986","Juvenile","5-Mar-87","5-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"14","529317-OGR","015-29317","1986","Juvenile","5-Mar-87","5-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"15","529318-OGM","015-29318","1986","Juvenile","5-Mar-87","5-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"16","543167-OOO3","015-43167","1986","Juvenile","31-Mar-87","31-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"17","543752-OYR","015-43752","1986","Juvenile","10-Mar-87","11-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"18","543754-___13","015-43754","1986","Juvenile","10-Mar-87","10-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"19","543755-MNR","015-43755","1986","Juvenile","10-Mar-87","14-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"M",0,0,0
"20","543758-OGO","015-43758","1986","Juvenile","11-Mar-87","11-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"21","543761-ONN","015-43761","1986","Juvenile","11-Mar-87","11-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"22","543764-MGB","015-43764","1986","Juvenile","31-Mar-87","31-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"23","543766-MOB","015-43766","1986","Juvenile","31-Mar-87","31-Mar-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"U",0,0,0
"24","543769-MRY","015-43769","1986","Juvenile","16-Apr-87","18-Apr-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"M",0,0,0
"25","543772-MBY","015-43772","1986","Adult","16-Apr-87","1-Mar-88","Unknown",NA,1,1,NA,NA,NA,NA,NA,NA,"F",2,2,2
"26","543774-MMY","015-43774","1986","Juvenile","16-Apr-87","21-Apr-91","Died",3,1,1,NA,NA,NA,NA,NA,NA,"F",14,8,5
"27","543775-MGG","015-43775","1986","Juvenile","30-Apr-87","2-May-87","Unknown",1,1,1,NA,NA,NA,NA,NA,NA,"M",0,0,0
"28","543776-MOG","015-43776","1986","Juvenile","30-Apr-87","10-Jun-92","Died",6,1,1,"476408-MMN",NA,"490363-OMN",2,"476420-BRY",NA,"M",11,9,6
