ID,band_num,cohort,caught_as,caught,disappeared,fate,outside_area,fledged,independent,mum,Mage,dad_soc,Sage,dad_bio,Bage,sex,LRStot,LRSfledge,LRSinde
490363-OMN,014-90363,1984,Adult,28-Aug-85,30-Sep-92,Died,6,1,1,*,*,*,*,*,99,M,12,7,5
529301-BBY,015-29301,1985,Adult,14-Jan-87,10-Sep-89,Died,3,1,1,*,*,*,*,*,99,M,0,0,0
476403-BWG,014-76403,1986,Juvenile,24-Nov-86,24-Nov-86,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
476404-_MO,014-76404,1986,Juvenile,25-Nov-86,25-Nov-86,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
476410-BBR,014-76410,1986,Juvenile,28-Nov-86,28-Nov-86,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
529302-BYY,015-29302,1986,Adult,14-Jan-87,14-Jan-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
529307-BOG,015-29307,1986,Juvenile,16-Jan-87,10-Mar-91,Died,3,1,1,529303-BGY,1+,476417-BGB,1+,476417-BGB,1+,M,2,0,0
529308-BRO,015-29308,1986,Juvenile,16-Jan-87,16-Jan-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
529310-BNG,015-29310,1986,Juvenile,21-Jan-87,31-Mar-87,Unknown,,1,1,*,*,*,*,*,99,U,0,0,0
529313-___11,015-29313,1986,Juvenile,22-Jan-87,22-Jan-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
529314-ORR2,015-29314,1986,Juvenile,5-Mar-87,29-Mar-87,Unknown,,1,1,476419-_NB,1+,476420-BRY,1+,*,99,F,0,0,0
529315-OBY,015-29315,1986,Juvenile,5-Mar-87,7-Apr-93,Died,6,1,1,476419-_NB,1+,476420-BRY,1+,476420-BRY,1+,M,15,12,4
529316-OBB,015-29316,1986,Juvenile,5-Mar-87,5-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
529317-OGR,015-29317,1986,Juvenile,5-Mar-87,5-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
529318-OGM,015-29318,1986,Juvenile,5-Mar-87,5-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543167-OOO3,015-43167,1986,Juvenile,31-Mar-87,31-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543752-OYR,015-43752,1986,Juvenile,10-Mar-87,11-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543754-___13,015-43754,1986,Juvenile,10-Mar-87,10-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543755-MNR,015-43755,1986,Juvenile,10-Mar-87,14-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,M,0,0,0
543758-OGO,015-43758,1986,Juvenile,11-Mar-87,11-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543761-ONN,015-43761,1986,Juvenile,11-Mar-87,11-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543764-MGB,015-43764,1986,Juvenile,31-Mar-87,31-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543766-MOB,015-43766,1986,Juvenile,31-Mar-87,31-Mar-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543769-MRY,015-43769,1986,Juvenile,16-Apr-87,18-Apr-87,Unknown,1,1,1,*,*,*,*,*,99,M,0,0,0
543772-MBY,015-43772,1986,Adult,16-Apr-87,1-Mar-88,Unknown,,1,1,*,*,*,*,*,99,F,2,2,2
543774-MMY,015-43774,1986,Juvenile,16-Apr-87,21-Apr-91,Died,3,1,1,*,*,*,*,*,99,F,14,8,5
543775-MGG,015-43775,1986,Juvenile,30-Apr-87,2-May-87,Unknown,1,1,1,*,*,*,*,*,99,M,0,0,0
543776-MOG,015-43776,1986,Juvenile,30-Apr-87,10-Jun-92,Died,6,1,1,476408-MMN,1+,490363-OMN,2,476420-BRY,1+,M,11,9,6
543777-MYG,015-43777,1986,Juvenile,30-Apr-87,30-Apr-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543801-OOO2,015-43801,1986,Juvenile,12-Feb-87,26-Mar-87,Died,,1,1,*,*,*,*,*,99,U,0,0,0
543802-YGB,015-43802,1986,Juvenile,12-Feb-87,12-Jan-90,Dispersedoutside,,1,1,543760-BMY1,1+,476407-BMB,1+,*,99,F,0,0,0
543803-ORY,015-43803,1986,Juvenile,12-Feb-87,12-Feb-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543804-OGY,015-43804,1986,Juvenile,12-Feb-87,3-Mar-90,Died,3,1,1,*,*,*,*,*,99,M,2,1,1
543805-OBR2,015-43805,1986,Juvenile,12-Feb-87,24-Feb-87,Unknown,,1,1,*,*,*,*,*,99,F,0,0,0
543806-OGG2,015-43806,1986,Juvenile,12-Feb-87,25-Feb-87,Unknown,,1,1,*,*,*,*,*,99,F,0,0,0
543810-OGB,015-43810,1986,Juvenile,25-Feb-87,25-Feb-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543811-OMG,015-43811,1986,Juvenile,25-Feb-87,19-Mar-89,Died,3,1,1,476409-BRR,1+,543807-ORG,1+,*,99,M,0,0,0
543813-MGR,015-43813,1986,Juvenile,31-Mar-87,15-Oct-89,Died,3,1,1,543762-MMM,1+,529312-BYO,1+,*,99,M,0,0,0
574712-YGR,015-74712,1986,Juvenile,6-Feb-88,7-Jan-90,Unknown,,1,1,*,*,*,*,*,99,F,0,0,0
433372-GOB,014-33372,1987,Juvenile,23-Dec-87,23-Dec-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
433374-WBY,014-33374,1987,Nestling,6-Jan-88,7-May-90,Unknown,,1,1,476409-BRR,2+,543807-ORG,2+,*,99,F,0,0,0
433375-WMN2,014-33375,1987,Nestling,6-Jan-88,11-Jan-88,Unknown,,0,0,725201-ORG,-4+,543811-OMG,1,*,99,U,0,0,0
433376-WNG,014-33376,1987,Nestling,7-Jan-88,26-Jul-94,Died,6,1,1,596785-MYM,1+,543808-OYB,2+,543804-OGY,1,M,16,8,7
433383-YMR,014-33383,1987,Juvenile,3-Feb-88,10-Aug-91,Died,6,1,1,476408-MMN,2+,490363-OMN,3,529315-OBY,1,M,2,2,1
433384-YRG,014-33384,1987,Fledgling,3-Feb-88,13-Jun-93,Died,6,1,1,574744-BNM,1+,476401-ROW,2+,476401-ROW,2+,M,19,14,10
433390-YNR2,014-33390,1987,Adult,4-Feb-88,4-Feb-88,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
433395-YOR2,014-33395,1987,Adult,4-Feb-88,30-Jan-89,Unknown,,1,1,*,*,*,*,*,99,U,0,0,0
433399-YMM,014-33399,1987,Juvenile,3-Feb-88,23-Apr-89,Died,3,1,1,574744-BNM,1+,476401-ROW,2+,*,99,M,0,0,0
478191-GGG,014-78191,1987,Juvenile,18-Dec-87,23-Sep-89,Died,3,1,1,*,*,478196-GBB,1+,*,99,M,0,0,0
478205-GNN,014-78205,1987,Juvenile,18-Dec-87,18-Dec-87,Unknown,1,1,1,*,*,*,*,*,99,U,0,0,0
543787-RWB,015-43787,1987,Juvenile,10-Dec-87,1-Mar-88,Died,,1,1,*,*,*,*,*,99,M,0,0,0
