Bird,ABBBS,Cohort,Caughtas,Caught,Gone,Fate,"; 2= ""Some members of cohort still alive""; 3=""Early bird"", 4=""Unknown age""; 6=""OK""",Fledged,Independent,Mum,Mumage,Social,Socialage,Sire,Sireage,epcCode,Sex,Allyoung,Fledged,Independent
543774-MMY,015-43774,1986,Juvenile,16-Apr-87,21-Apr-91,Died,3,1,1,*,*,*,*,*,99,,F,14,8,5
574712-YGR,015-74712,1986,Juvenile,6-Feb-88,7-Jan-90,Unknown,,1,1,*,*,*,*,*,99,,F,0,0,0
543840-ORN,015-43840,1987,Juvenile,4-Feb-88,1-Aug-89,Died,3,1,1,*,*,*,*,*,99,,F,0,0,0
574511-OYG,015-74511,1987,Juvenile,10-May-88,9-Oct-89,Dispersedoutside,,1,1,543772-MBY,1,529309-BBO,2+,*,99,,F,0,0,0
574717-YOO,015-74717,1987,Juvenile,9-Feb-88,18-Jan-89,Died,3,1,1,F00001-unb1,1+,478198-GMR,1+,*,99,,F,5,0,0
574724-YMB,015-74724,1987,Nestling,15-Feb-88,15-Jul-90,Died,3,1,1,543786-RRB,1+,511363-BYM,2+,*,99,,F,4,4,4
574748-NGB,015-74748,1987,Fledgling,25-Feb-88,11-Jun-89,Died,3,1,1,574750-BYN,1+,574775-MMB,1+,*,99,,F,5,3,2
574751-NON,015-74751,1987,Adult,25-Feb-88,5-May-91,Died,3,1,1,*,*,*,*,*,99,,F,13,13,9
574761-MRG,015-74761,1987,Juvenile,11-Mar-88,10-Jul-91,Died,3,1,1,*,*,543785-RBY,1+,*,99,,F,13,6,4
596623-MmyR,015-96623,1988,Nestling,4-Dec-88,15-Oct-89,Unknown,,1,1,*,*,*,*,*,99,*,F,0,0,0
596662-GYN,015-96662,1988,Juvenile,20-Dec-88,24-Mar-91,Died,3,1,1,*,*,*,*,*,99,*,F,11,4,3
596713-YgwB,015-96713,1988,Nestling,10-Jan-89,18-Jan-91,Died,3,1,1,*,*,478198-GMR,2+,*,99,*,F,9,9,4
596748-GNB,015-96748,1988,Adult,3-Feb-89,6-Oct-89,Dispersedoutside,,1,1,*,*,*,*,*,99,*,F,0,0,0
596751-BWM,015-96751,1988,Adult,5-Feb-89,26-Nov-96,Died,6,1,1,*,*,*,*,*,99,*,F,35,23,20
596791-GWY,015-96791,1988,Juvenile,27-Apr-89,10-Jun-90,Died,3,1,1,476409-BRR,3+,543811-OMG,2,*,99,*,F,3,0,0
596801-GWR,015-96801,1988,Adult,29-May-89,12-Aug-94,Died,6,1,1,*,*,*,*,*,99,*,F,16,11,7
596814-MNO,015-96814,1988,Juvenile,7-Jun-89,23-May-93,Died,3,1,1,574507-GMB,2+,476414-BRB,3+,*,99,*,F,3,3,3
626691-GBW,016-26691,1988,Adult,2-Feb-90,10-Feb-97,Died,6,1,1,574800-GRY,2+,574502-GBN,2+,574502-GBN,2+,GBN,F,25,14,7
583809-mGMW,015-83809,1989,Adult,2-Mar-90,25-May-97,Died,6,1,1,*,*,*,*,*,99,*,F,35,29,19
626625-YrwN,016-26625,1989,Nestling,14-Dec-89,7-Oct-96,Died,6,1,1,596867-BOW,1+,433376-WNG,2,*,99,epc,F,8,5,5
626685-WWR,016-26685,1989,Juvenile,23-Jan-90,12-Oct-93,Died,3,1,1,626691-GBW,1,476412-BGR,4+,*,99,epc-amb,F,15,8,6
626707-WYR,016-26707,1989,Adult,15-Feb-90,18-Mar-91,Died,3,1,1,*,*,*,*,*,99,*,F,3,3,3
626709-NBR,016-26709,1989,Adult,26-Feb-90,26-Oct-91,Died,3,1,1,*,*,*,*,*,99,*,F,5,5,4
626712-OWO,016-26712,1989,Adult,27-Feb-90,10-Nov-94,Died,6,1,1,*,*,*,*,*,,*,F,20,4,4
626716-WBR,016-26716,1989,Adult,1-Mar-90,2-Jul-94,Died,6,1,1,*,*,*,*,*,99,*,F,7,4,4
626720-NMM,016-26720,1989,Fledgling,9-Mar-90,10-Oct-91,Died,3,1,1,*,*,*,*,*,99,*,F,1,1,1
626721-NGG,016-26721,1989,Juvenile,17-Mar-90,26-Aug-92,Died,3,1,1,*,*,*,*,*,99,*,F,11,3,2
626734-YYN,016-26734,1989,Adult,6-Jun-90,19-Oct-95,Died,6,1,1,*,*,*,*,*,99,*,F,30,19,15
626736-WRB,016-26736,1989,Adult,8-Jun-90,12-Sep-93,Died,3,1,1,*,*,*,*,*,99,*,F,6,3,2
626741-GYO,016-26741,1989,Adult,24-Aug-90,4-Sep-92,Died,3,1,1,*,*,*,*,*,99,*,F,11,7,3
626746-BNN,016-26746,1989,Adult,3-Sep-90,19-Jul-95,Died,6,1,1,*,*,*,*,*,99,*,F,14,14,9
626748-NRO,016-26748,1989,Adult,7-Sep-90,18-Oct-92,Died,3,1,1,*,*,*,*,*,99,*,F,10,3,2
626757-NWN,016-26757,1989,Adult,27-Oct-90,21-Dec-91,Died,3,1,1,*,*,*,*,*,99,*,F,0,0,0
626902-WBG,016-26902,1989,Adult,12-Mar-91,26-Oct-91,Died,3,1,1,*,*,*,*,*,99,*,F,3,3,0
626908-WMY,016-26908,1989,Adult,31-May-91,6-Jun-93,Died,3,1,1,*,*,*,*,*,99,*,F,11,6,5
626836-WmwN2,016-26836,1990,Nestling,19-Dec-90,18-Jan-91,Died,,1,1,596713-YgwB,2,574747-NRR,4+,681475-MNA,2+,MNA,F,0,0,0
626845-YobY,016-26845,1990,Nestling,27-Dec-90,8-Oct-98,Died,6,1,1,579710-NWO,4+,478193-GNM,4+,478193-GNM,4+,GNM,F,20,14,11
626895-NGY,016-26895,1990,Adult,25-Feb-91,19-Oct-93,Died,3,1,1,*,*,*,*,*,99,*,F,14,12,10
