"","ID","cohort","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","lifespan","lifespanM","lifespanB","lifespanS","MageM","BageM","SageM","MageREL","BageREL","SageREL","EP","Nest.ID.mother","Jincube","help.cat","incest","No.hatched","sire","weight","weight.age","EPb","WPb","pre1992","deathPastSep","lifespanSep","weight.res"
"1","574572-MowB",1988,"Unknown",NA,1,1,"574800-GRY",NA,"574502-GBN",NA,"574502-GBN",NA,"M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","GRY_120",0.19672131147541,"twoPlus","No",4,"WP",6.5,NA,0,1,"yes",0,NA,NA
"2","574580-GSnO",1988,"Died",NA,0,0,"574750-BYN",NA,"574775-MMB",NA,"574775-MMB",NA,"F",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","BYN_95",0.240437158469945,"one","No",4,"WP",8.1,NA,0,1,"yes",0,0,NA
"3","574582-RSnO",1988,"Died",NA,0,0,"574750-BYN",NA,"574775-MMB",NA,"574775-MMB",NA,"F",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","BYN_95",0.240437158469945,"one","No",4,"WP",8.6,NA,0,1,"yes",0,0,NA
"4","596640-GWO",1988,"Died",6,1,1,"476408-MMN",NA,"490363-OMN",4,"529315-OBY",2,"M",0,2,NA,7,8,NA,4.5,5.69565217391304,NA,-2.5,-1.69565217391304,"yes","MMN_7",0.39344262295082,"twoPlus","No",4,"EP",9.1,7,1,0,"yes",-1,1,1.61332813708552
"5","596700-YOM",1988,"Died",5,1,1,"574748-NGB",1,"574747-NRR",NA,"574775-MMB",NA,"M",0,4,2,NA,NA,1,NA,NA,0,NA,NA,"yes","NGB_94",0.355191256830601,"none","No",3,"EP",8.2,7,1,0,"yes",-1,3,0.71332813709698
"6","596720-NbwG1",1988,"Dispersedoutside",NA,1,1,"574761-MRG",1,"511361-YGY",NA,"574502-GBN",NA,"F",0,NA,4,NA,NA,1.5,NA,NA,-0.5,NA,NA,"yes","MRG_103",0.584699453551913,"twoPlus","No",3,"EP",NA,7,1,0,"yes",0,NA,NA
"7","596761-MBM",1988,"Died",6,1,1,"543762-MMM",NA,"574719-YRN",NA,"574719-YRN",NA,"M",12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","MMM_32",0.245901639344262,"one","No",2,"WP",NA,NA,0,1,"yes",-1,4,NA
"8","596829-GorB",1989,"Died",NA,1,0,"543809-ORB",NA,"476420-BRY",NA,"476420-BRY",NA,"M",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","ORB_157",0.0546448087431694,"none","No",3,"WP",6.3,7,0,1,"yes",0,0,-1.18667186290267
"9","596830-YOG",1989,"Died",6,1,1,"543809-ORB",NA,"476420-BRY",NA,"476412-BGR",NA,"M",6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","ORB_157",0.0546448087431694,"none","No",3,"EP",7,7,1,0,"yes",0,6,-0.486671862902317
"10","596831-NOY",1989,"Died",1,1,1,"543809-ORB",NA,"476420-BRY",NA,"476420-BRY",NA,"M",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","ORB_157",0.0546448087431694,"none","No",3,"WP",6.9,7,0,1,"yes",0,1,-0.586671862902316
"11","596833-RSrN",1989,"Died",NA,1,1,"476408-MMN",NA,"490363-OMN",5,"529315-OBY",3,"M",0,0,NA,7,8,NA,4.5,5.69565217391304,NA,-1.5,-0.695652173913044,"yes","MMN_137",0.0819672131147541,"twoPlus","No",3,"EP",7.8,7,1,0,"yes",0,0,0.313328137097683
"12","596834-BSrN",1989,"Died",NA,1,0,"476408-MMN",NA,"490363-OMN",5,"529315-OBY",3,"M",0,0,NA,7,8,NA,4.5,5.69565217391304,NA,-1.5,-0.695652173913044,"yes","MMN_137",0.0819672131147541,"twoPlus","No",3,"EP",7.5,7,1,0,"yes",0,0,0.0133281370976833
"13","596837-WbgB2",1989,"Died",NA,1,0,"529303-BGY",NA,"476417-BGB",NA,"476417-BGB",NA,"M",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","BGY_141",0.0765027322404372,"one","No",3,"WP",7.2,7,0,1,"yes",0,0,-0.286671862902316
"14","596849-BBrs",1989,"Died",NA,0,0,"579710-NWO",NA,"478193-GNM",NA,"529304-BYG",NA,"M",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","NWO_204",0.131147540983607,"one","No",3,"EP",8.2,8,1,0,"yes",0,0,-0.129151526408947
"15","596850-OBrs",1989,"Died",NA,0,0,"579710-NWO",NA,"478193-GNM",NA,"478193-GNM",NA,"F",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","NWO_204",0.131147540983607,"one","No",3,"WP",8,8,0,1,"yes",0,0,-0.329151526408946
"16","596851-WBrs",1989,"Died",NA,0,0,"579710-NWO",NA,"478193-GNM",NA,"529304-BYG",NA,"F",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","NWO_204",0.131147540983607,"one","No",3,"EP",8.1,8,1,0,"yes",0,0,-0.229151526408946
"17","596852-NgoG2",1989,"Died",NA,1,0,"596867-BOW",NA,"433376-WNG",2,"433376-WNG",2,"F",0,0,NA,7,7,NA,4.9375,4.13333333333333,NA,-2.9375,-2.13333333333333,"no","BOW_246",0.147540983606557,"none","No",3,"WP",8.1,7,0,1,"yes",0,0,0.613328137097683
"18","596853-RgoG",1989,"Died",6,1,1,"596867-BOW",NA,"433376-WNG",2,"543808-OYB",NA,"M",10,6,NA,NA,7,NA,NA,4.13333333333333,NA,NA,-2.13333333333333,"yes","BOW_246",0.147540983606557,"none","No",3,"EP",8.9,7,1,0,"yes",-1,5,1.41332813709768
"19","596863-RgoB",1989,"Died",NA,0,0,"596785-MYM",NA,"543808-OYB",NA,"626921-GYM",NA,"M",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","MYM_231",0.191256830601093,"one","No",3,"EP",6.6,7,1,0,"yes",0,0,-0.886671862902317
"20","596868-WnyR",1989,"Died",NA,1,0,"596713-YgwB",1,"574747-NRR",NA,"574747-NRR",NA,"F",0,0,3,NA,NA,1.33333333333333,NA,NA,-0.333333333333333,NA,NA,"no","YgwB_214",0.251366120218579,"one","No",3,"WP",7.3,7,0,1,"yes",0,0,-0.186671862902317
"21","596869-GnyR2",1989,"Died",NA,1,0,"596713-YgwB",1,"574747-NRR",NA,"681475-MNA",NA,"F",0,0,3,NA,NA,1.33333333333333,NA,NA,-0.333333333333333,NA,NA,"yes","YgwB_214",0.251366120218579,"one","No",3,"EP",7.5,7,1,0,"yes",0,0,0.0133281370976833
"22","596870-NnyR2",1989,"Died",NA,1,0,"596713-YgwB",1,"574747-NRR",NA,"574747-NRR",NA,"M",0,0,3,NA,NA,1.33333333333333,NA,NA,-0.333333333333333,NA,NA,"no","YgwB_214",0.251366120218579,"one","No",3,"WP",7.4,7,0,1,"yes",0,0,-0.0866718629023163
"23","596877-MnyW",1989,"Died",6,1,1,"574728-YBO",NA,"574504-GRO",NA,"574504-GRO",NA,"M",9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","YBO_178",0.278688524590164,"one","No",4,"WP",8.2,9,0,1,"yes",0,7,-0.971631189915576
"24","596881-OboM2",1989,"Died",NA,1,0,"574751-NON",2,"574743-BMM",2,"543776-MOG",3,"F",0,0,4,6,10,2.30769230769231,3.72727272727273,4.67857142857143,-0.307692307692307,-0.727272727272727,-2.67857142857143,"yes","NON_190",0.311475409836066,"one","No",3,"EP",7.8,7,1,0,"yes",0,0,0.313328137097683
"25","596886-YbgO2",1989,"Unknown",NA,1,1,"574741-BRN",NA,"574514-OOR",NA,"490363-OMN",5,"F",0,NA,NA,8,NA,NA,6,NA,NA,-1,NA,"yes","BRN_181",0.322404371584699,"twoPlus","No",3,"EP",6.9,8,1,0,"yes",-1,NA,-1.42915152640895
"26","596887-MbgO2",1989,"Unknown",NA,1,0,"574741-BRN",NA,"574514-OOR",NA,"476420-BRY",NA,"F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","BRN_181",0.322404371584699,"twoPlus","No",3,"EP",7.4,8,1,0,"yes",0,NA,-0.929151526408946
"27","596888-NbgO2",1989,"Unknown",NA,1,1,"574741-BRN",NA,"574514-OOR",NA,"490363-OMN",5,"F",0,NA,NA,8,NA,NA,6,NA,NA,-1,NA,"yes","BRN_181",0.322404371584699,"twoPlus","No",3,"EP",6.7,8,1,0,"yes",-1,NA,-1.62915152640895
"28","596894-WnyG",1989,"Died",NA,1,0,"574744-BNM",NA,"476401-ROW",NA,"490363-OMN",5,"F",0,0,NA,8,NA,NA,6,NA,NA,-1,NA,"yes","BNM_184",0.33879781420765,"one","No",3,"EP",8.9,8,1,0,"yes",0,0,0.570848473591054
"29","596896-OWG2",1989,"Dispersedoutside",NA,1,1,"574744-BNM",NA,"476401-ROW",NA,"478194-GRG",NA,"F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","BNM_184",0.33879781420765,"one","No",3,"EP",8.8,8,1,0,"yes",0,NA,0.470848473591055
"30","596897-WBW",1989,"Died",6,1,1,"543809-ORB",NA,"476420-BRY",NA,"476412-BGR",NA,"M",25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","ORB_158",0.33879781420765,"none","No",4,"EP",7.5,7,1,0,"yes",0,6,0.0133281370976833
"31","596898-MYW",1989,"Died",6,1,1,"543809-ORB",NA,"476420-BRY",NA,"476412-BGR",NA,"M",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","ORB_158",0.33879781420765,"none","No",4,"EP",7.6,7,1,0,"yes",-1,2,0.113328137097683
"32","596899-RBW",1989,"Died",6,1,1,"543809-ORB",NA,"476420-BRY",NA,"476412-BGR",NA,"M",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","ORB_158",0.33879781420765,"none","No",4,"EP",7.9,7,1,0,"yes",-1,3,0.413328137097684
