"","ID","cohort","caught","dis.day","dis.month","dis.year","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","lifespan","lifespanM","lifespanB","lifespanS","EP","Nest.ID.mother","Jincube"
"1","596880-MOM",1989,"24-Nov-89","10","Oct",1991,"Died",NA,1,1,"574751-NON",2,"574743-BMM",2,"596754-NRY",1,"M",0,0,0,2,4,10,10,"yes","NON_190",0.311475409836066
"2","596881-OboM2",1989,"24-Nov-89","1","Dec",1989,"Died",NA,1,0,"574751-NON",2,"574743-BMM",2,"543776-MOG",3,"F",0,0,0,0,4,6,10,"yes","NON_190",0.311475409836066
"3","626672-RnyB2",1989,"14-Jan-90","14","Jan",1990,"Died",NA,0,0,"596662-GYN",1,"433384-YRG",2,"433384-YRG",2,"M",0,0,0,1,3,6,6,"no","GYN_210",0.590163934426229
"4","626673-WnyB2",1989,"14-Jan-90","14","Jan",1990,"Died",NA,0,0,"596662-GYN",1,"433384-YRG",2,"433384-YRG",2,"F",0,0,0,1,3,6,6,"no","GYN_210",0.590163934426229
"5","626674-OnyB2",1989,"14-Jan-90","14","Jan",1990,"Died",NA,0,0,"596662-GYN",1,"433384-YRG",2,"433384-YRG",2,"M",0,0,0,1,3,6,6,"no","GYN_210",0.590163934426229
"6","626780-RbwO2",1990,"14-Nov-90","5","Dec",1990,"Died",NA,1,0,"574751-NON",3,"574743-BMM",3,"543776-MOG",4,"M",0,0,0,0,4,6,10,"yes","NON_272",0.256830601092896
"7","626781-ObwO2",1990,"14-Nov-90","23","Dec",1990,"Unknown",NA,1,1,"574751-NON",3,"574743-BMM",3,"543776-MOG",4,"F",0,0,0,NA,4,6,10,"yes","NON_272",0.256830601092896
"8","626782-YbwO2",1990,"14-Nov-90","10","Jan",1991,"Unknown",NA,1,1,"574751-NON",3,"574743-BMM",3,"543776-MOG",4,"F",0,0,0,NA,4,6,10,"yes","NON_272",0.256830601092896
"9","626798-RynW",1990,"25-Nov-90","5","May",1991,"Died",NA,1,1,"626707-WYR",1,"596765-GNB",2,"596765-GNB",2,"M",0,0,0,1,2,8,8,"no","WYR_306",0.311475409836066
"10","626799-BynW",1990,"25-Nov-90","6","Jan",1991,"Unknown",NA,1,1,"626707-WYR",1,"596765-GNB",2,"596765-GNB",2,"F",0,0,0,NA,2,8,8,"no","WYR_306",0.311475409836066
"11","626818-BboY",1990,"30-Nov-90","5","Sep",1991,"Dispersedoutside",NA,1,1,"596662-GYN",2,"433384-YRG",3,"433384-YRG",3,"F",0,0,0,NA,3,6,6,"no","GYN_279",0.333333333333333
"12","626839-WRG",1990,"24-Dec-90","21","Sep",1994,"Died",6,1,1,"626720-NMM",1,"596879-NGN",1,"574721-R--",3,"M",1,1,0,4,2,4,4,"yes",NA,NA
"13","626841-WboG2",1990,"24-Dec-90","31","Aug",1991,"Died",NA,1,1,"626709-NBR",1,"596818-NBG",2,"596818-NBG",2,"M",0,0,0,1,2,3,3,"no","NBR_308",0.469945355191257
"14","626842-OboG2",1990,"24-Dec-90","1","Sep",1991,"Unknown",NA,1,1,"626709-NBR",1,"596818-NBG",2,"596818-NBG",2,"F",0,0,0,NA,2,3,3,"no","NBR_308",0.469945355191257
"15","626843-YboG",1990,"24-Dec-90","5","May",1991,"Died",NA,1,1,"626709-NBR",1,"596818-NBG",2,"596818-NBG",2,"M",0,0,0,1,2,3,3,"no","NBR_308",0.469945355191257
"16","626844-NboG2",1990,"24-Dec-90","31","Dec",1990,"Died",NA,1,0,"626709-NBR",1,"596818-NBG",2,"596818-NBG",2,"M",0,0,0,0,2,3,3,"no","NBR_308",0.469945355191257
