"","ID","cohort","caught","disappeared","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","EP"
"1","433374-WBY","1987","6-Jan-88","7-May-90","Unknown",NA,1,1,"476409-BRR",2,"543807-ORG",2,NA,NA,"F",0,0,0,NA
"2","433375-WMN2","1987","6-Jan-88","11-Jan-88","Unknown",NA,0,0,"725201-ORG",4,"543811-OMG",1,NA,NA,"U",0,0,0,NA
"3","433376-WNG","1987","7-Jan-88","26-Jul-94","Died",6,1,1,"596785-MYM",1,"543808-OYB",2,"543804-OGY",1,"M",16,8,7,"yes"
"4","433384-YRG","1987","3-Feb-88","13-Jun-93","Died",6,1,1,"574744-BNM",1,"476401-ROW",2,"476401-ROW",2,"M",19,14,10,"no"
"5","574701-GGR2","1987","12-Jan-88","29-Sep-88","Died",3,1,1,"543809-ORB",1,"529306-BGG",2,NA,NA,"M",0,0,0,NA
"6","574702-GMN2","1987","12-Jan-88","25-Sep-88","Dispersedoutside",NA,1,1,"543809-ORB",1,"529306-BGG",2,NA,NA,"F",0,0,0,NA
"7","574703-GOG","1987","12-Jan-88","12-Feb-89","Died",NA,1,1,"543809-ORB",1,"529306-BGG",2,NA,NA,"M",0,0,0,NA
"8","574705-YRB2","1987","28-Jan-88","28-Jan-88","Died",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"9","574706-YBG2","1987","28-Jan-88","28-Jan-88","Died",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"10","574707-YNY","1987","28-Jan-88","8-Oct-88","Died",5,1,1,"579710-NWO",1,"433387-YRRroc",1,NA,NA,"M",0,0,0,NA
"11","574708-NOB","1987","2-Feb-88","19-Oct-88","Dispersedoutside",NA,1,1,"543800-RBB",1,"543751-OMM",2,NA,NA,"F",0,0,0,NA
"12","574724-YMB","1987","15-Feb-88","15-Jul-90","Died",3,1,1,"543786-RRB",1,"511363-BYM",2,NA,NA,"F",4,4,4,NA
"13","574725-YRY2","1987","15-Feb-88","19-Feb-88","Unknown",NA,0,0,"543786-RRB",1,"511363-BYM",2,NA,NA,"U",0,0,0,NA
"14","574726-YBN","1987","15-Feb-88","19-Nov-88","Died",NA,1,1,"543786-RRB",1,"511363-BYM",2,NA,NA,"M",0,0,0,NA
"15","574743-BMM","1987","23-Feb-88","20-Jul-97","Died",6,1,1,"574741-BRN",1,"543780-RGY",1,NA,NA,"M",2,0,0,NA
"16","574748-NGB","1987","25-Feb-88","11-Jun-89","Died",3,1,1,"574750-BYN",1,"574775-MMB",1,NA,NA,"F",5,3,2,NA
"17","574535-GrwB2","1988","3-Oct-88","16-Oct-88","Died",NA,1,0,"543809-ORB",2,"529306-BGG",3,NA,NA,"U",0,0,0,NA
"18","574536-MrwB2","1988","3-Oct-88","16-Oct-88","Died",NA,1,0,"543809-ORB",2,"529306-BGG",3,NA,NA,"U",0,0,0,NA
"19","574537-OrwB2","1988","3-Oct-88","16-Oct-88","Died",NA,1,0,"543809-ORB",2,"529306-BGG",3,NA,NA,"U",0,0,0,NA
"20","574538-GSnG","1988","10-Oct-88","10-Oct-88","Unknown",1,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"21","574539-RgwG2","1988","10-Oct-88","10-Oct-88","Unknown",NA,0,0,"574786-RNB",1,"SOC001_RNB",1,NA,NA,"U",0,0,0,NA
"22","574540-GgwG","1988","10-Oct-88","10-Oct-88","Unknown",NA,0,0,"574786-RNB",1,NA,NA,NA,NA,"U",0,0,0,NA
"23","574541-GowO","1988","12-Oct-88","12-Oct-88","Unknown",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"24","574542-MowO","1988","12-Oct-88","12-Oct-88","Unknown",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"25","574543-NowO","1988","12-Oct-88","12-Oct-88","Unknown",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"26","574544-MbwM2","1988","17-Oct-88","17-Oct-88","Unknown",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"27","574545-RbwM","1988","17-Oct-88","17-Oct-88","Unknown",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
"28","574546-BbwM","1988","17-Oct-88","17-Oct-88","Unknown",NA,0,0,NA,NA,NA,NA,NA,NA,"U",0,0,0,NA
