"","ID","cohort","caught","disappeared","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","EP"
"1","433376-WNG","1987","7-Jan-88","26-Jul-94","Died",6,1,1,"596785-MYM",1,"543808-OYB",2,"543804-OGY",1,"M",16,8,7,"yes"
"2","433384-YRG","1987","3-Feb-88","13-Jun-93","Died",6,1,1,"574744-BNM",1,"476401-ROW",2,"476401-ROW",2,"M",19,14,10,"no"
"3","574572-MowB","1988","3-Nov-88","18-Dec-88","Unknown",NA,1,1,"574800-GRY",2,"574502-GBN",2,"574502-GBN",2,"M",0,0,0,"no"
"4","574580-GSnO","1988","11-Nov-88","11-Nov-88","Died",NA,0,0,"574750-BYN",2,"574775-MMB",2,"574775-MMB",2,"F",0,0,0,"no"
"5","574582-RSnO","1988","11-Nov-88","11-Nov-88","Died",NA,0,0,"574750-BYN",2,"574775-MMB",2,"574775-MMB",2,"F",0,0,0,"no"
"6","596640-GWO","1988","9-Dec-88","13-May-90","Died",6,1,1,"476408-MMN",3,"490363-OMN",4,"529315-OBY",2,"M",0,0,0,"yes"
"7","596651-NSnN","1988","18-Dec-88","5-Feb-89","Unknown",NA,1,1,"579710-NWO",2,"433387-YRRroc",2,"529304-BYG",3,"F",0,0,0,"yes"
"8","596652-GSnN","1988","18-Dec-88","23-Sep-89","Dispersedoutside",NA,1,1,"579710-NWO",2,"433387-YRRroc",2,"529304-BYG",3,"F",0,0,0,"yes"
"9","596654-BSnN","1988","18-Dec-88","5-Feb-89","Unknown",NA,1,1,"579710-NWO",2,"433387-YRRroc",2,"574763-RMB",2,"F",0,0,0,"yes"
"10","596700-YOM","1988","2-Dec-88","16-Aug-92","Died",5,1,1,"574748-NGB",1,"574747-NRR",2,"574775-MMB",2,"M",0,0,0,"yes"
"11","596720-NbwG1","1988","13-Jan-89","24-Sep-89","Dispersedoutside",NA,1,1,"574761-MRG",1,"511361-YGY",3,"574502-GBN",2,"F",0,0,0,"yes"
"12","596761-MBM","1988","8-Feb-89","7-Mar-93","Died",6,1,1,"543762-MMM",3,"574719-YRN",2,"574719-YRN",2,"M",12,3,0,"no"
"13","596829-GorB","1989","8-Oct-89","17-Oct-89","Died",NA,1,0,"543809-ORB",3,"476420-BRY",4,"476420-BRY",4,"M",0,0,0,"no"
"14","596830-YOG","1989","8-Oct-89","2-Nov-95","Died",6,1,1,"543809-ORB",3,"476420-BRY",4,"476412-BGR",4,"M",6,3,3,"yes"
"15","596831-NOY","1989","8-Oct-89","12-Nov-90","Died",1,1,1,"543809-ORB",3,"476420-BRY",4,"476420-BRY",4,"M",0,0,0,"no"
"16","596833-RSrN","1989","13-Oct-89","20-Dec-89","Died",NA,1,1,"476408-MMN",4,"490363-OMN",5,"529315-OBY",3,"M",0,0,0,"yes"
"17","596834-BSrN","1989","13-Oct-89","29-Oct-89","Died",NA,1,0,"476408-MMN",4,"490363-OMN",5,"529315-OBY",3,"M",0,0,0,"yes"
"18","596837-WbgB2","1989","13-Oct-89","20-Oct-89","Died",NA,1,0,"529303-BGY",4,"476417-BGB",4,"476417-BGB",4,"M",0,0,0,"no"
"19","596849-BBrs","1989","22-Oct-89","22-Oct-89","Died",NA,0,0,"579710-NWO",3,"478193-GNM",3,"529304-BYG",4,"M",0,0,0,"yes"
"20","596850-OBrs","1989","22-Oct-89","22-Oct-89","Died",NA,0,0,"579710-NWO",3,"478193-GNM",3,"478193-GNM",3,"F",0,0,0,"no"
"21","596851-WBrs","1989","22-Oct-89","22-Oct-89","Died",NA,0,0,"579710-NWO",3,"478193-GNM",3,"529304-BYG",4,"F",0,0,0,"yes"
"22","596852-NgoG2","1989","25-Oct-89","16-Nov-89","Died",NA,1,0,"596867-BOW",1,"433376-WNG",2,"433376-WNG",2,"F",0,0,0,"no"
"23","596853-RgoG","1989","25-Oct-89","1-Aug-95","Died",6,1,1,"596867-BOW",1,"433376-WNG",2,"543808-OYB",4,"M",10,5,3,"yes"
"24","596863-RgoB","1989","2-Nov-89","2-Nov-89","Died",NA,0,0,"596785-MYM",3,"543808-OYB",4,"626921-GYM",2,"M",0,0,0,"yes"
"25","596864-NgoB2","1989","2-Nov-89","2-Nov-89","Died",NA,0,0,"596785-MYM",3,"543808-OYB",4,"543804-OGY",3,"F",0,0,0,"yes"
"26","596868-WnyR","1989","13-Nov-89","27-Nov-89","Died",NA,1,0,"596713-YgwB",1,"574747-NRR",3,"574747-NRR",3,"F",0,0,0,"no"
"27","596869-GnyR2","1989","13-Nov-89","27-Nov-89","Died",NA,1,0,"596713-YgwB",1,"574747-NRR",3,"681475-MNA",1,"F",0,0,0,"yes"
"28","596870-NnyR2","1989","13-Nov-89","27-Nov-89","Died",NA,1,0,"596713-YgwB",1,"574747-NRR",3,"574747-NRR",3,"M",0,0,0,"no"
"29","596877-MnyW","1989","20-Nov-89","21-Sep-96","Died",6,1,1,"574728-YBO",3,"574504-GRO",3,"574504-GRO",3,"M",9,5,4,"no"
"30","596880-MOM","1989","24-Nov-89","10-Oct-91","Died",NA,1,1,"574751-NON",2,"574743-BMM",2,"596754-NRY",1,"M",0,0,0,"yes"
"31","596881-OboM2","1989","24-Nov-89","1-Dec-89","Died",NA,1,0,"574751-NON",2,"574743-BMM",2,"543776-MOG",3,"F",0,0,0,"yes"
"32","596886-YbgO2","1989","27-Nov-89","16-Jan-90","Unknown",NA,1,1,"574741-BRN",3,"574514-OOR",3,"490363-OMN",5,"F",0,0,0,"yes"
"33","596887-MbgO2","1989","27-Nov-89","5-Dec-89","Unknown",NA,1,0,"574741-BRN",3,"574514-OOR",3,"476420-BRY",4,"F",0,0,0,"yes"
"34","596888-NbgO2","1989","27-Nov-89","16-Jan-90","Unknown",NA,1,1,"574741-BRN",3,"574514-OOR",3,"490363-OMN",5,"F",0,0,0,"yes"
"35","596894-WnyG","1989","30-Nov-89","8-Dec-89","Died",NA,1,0,"574744-BNM",3,"476401-ROW",4,"490363-OMN",5,"F",0,0,0,"yes"
"36","596896-OWG2","1989","30-Nov-89","10-Sep-90","Dispersedoutside",NA,1,1,"574744-BNM",3,"476401-ROW",4,"478194-GRG",3,"F",0,0,0,"yes"
"37","596897-WBW","1989","30-Nov-89","14-Oct-95","Died",6,1,1,"543809-ORB",3,"476420-BRY",4,"476412-BGR",4,"M",25,20,13,"yes"
"38","596898-MYW","1989","30-Nov-89","11-Mar-92","Died",6,1,1,"543809-ORB",3,"476420-BRY",4,"476412-BGR",4,"M",1,1,1,"yes"
"39","596899-RBW","1989","30-Nov-89","1-Aug-93","Died",6,1,1,"543809-ORB",3,"476420-BRY",4,"476412-BGR",4,"M",5,5,5,"yes"
"40","626605-NbrY2","1989","6-Dec-89","14-Dec-89","Died",NA,1,0,"596785-MYM",3,"543808-OYB",4,"626921-GYM",2,"M",0,0,0,"yes"
"41","626606-YbrY2","1989","6-Dec-89","10-Feb-90","Died",NA,1,1,"596785-MYM",3,"543808-OYB",4,"543808-OYB",4,"M",0,0,0,"no"
"42","626607-GbrY","1989","6-Dec-89","19-Jul-92","Died",6,1,1,"596785-MYM",3,"543808-OYB",4,"543808-OYB",4,"M",0,0,0,"no"
"43","626608-WbrY2","1989","6-Dec-89","14-Dec-89","Died",NA,1,0,"596785-MYM",3,"543808-OYB",4,"626921-GYM",2,"F",0,0,0,"yes"
"44","626609-MnyR2","1989","7-Dec-89","10-Feb-90","Unknown",NA,1,1,"596664-BBN",2,"574763-RMB",3,"433387-YRRroc",3,"F",0,0,0,"yes"
"45","626610-OnyR","1989","7-Dec-89","24-Jan-93","Died",6,1,1,"596664-BBN",2,"574763-RMB",3,"574763-RMB",3,"M",4,2,2,"no"
"46","626631-NobW2","1989","24-Dec-89","31-Jan-90","Died",NA,1,1,"476408-MMN",4,"490363-OMN",5,"490363-OMN",5,"M",0,0,0,"no"
"47","626632-WobW","1989","24-Dec-89","31-May-90","Died",NA,1,1,"476408-MMN",4,"490363-OMN",5,"490363-OMN",5,"M",0,0,0,"no"
"48","626633-OobW2","1989","24-Dec-89","31-May-90","Died",NA,1,1,"476408-MMN",4,"490363-OMN",5,"490363-OMN",5,"M",0,0,0,"no"
"49","626637-OYN","1989","25-Dec-89","2-Aug-92","Died",3,1,1,"574750-BYN",3,"574775-MMB",3,"574775-MMB",3,"M",0,0,0,"no"
"50","626645-NNW","1989","5-Jan-90","16-Aug-92","Died",3,1,1,"579710-NWO",3,"478193-GNM",3,"478192-GON",3,"M",0,0,0,"yes"
"51","626648-BrwO","1989","8-Jan-90","27-Oct-96","Died",6,1,1,"543826-RGB",3,"574720-YYY",2,"596818-NBG",1,"M",16,11,8,"yes"
"52","626649-GrwO2","1989","8-Jan-90","18-Jan-90","Died",NA,1,0,"543826-RGB",3,"574720-YYY",2,"596818-NBG",1,"M",0,0,0,"yes"
"53","626650-WrwO2","1989","8-Jan-90","19-Aug-90","Unknown",NA,1,1,"543826-RGB",3,"574720-YYY",2,"596818-NBG",1,"F",0,0,0,"yes"
"54","626656-GogO","1989","10-Jan-90","6-Jun-93","Died",6,1,1,"543762-MMM",4,"574719-YRN",3,"574720-YYY",2,"M",2,0,0,"yes"
"55","626661-BBG","1989","11-Jan-90","20-Nov-91","Died",6,1,1,"596762-RYN",2,"525597-YBB",3,"596701-GNO",1,"M",0,0,0,"yes"
"56","626664-RgbG2","1989","13-Jan-90","13-Jan-90","Died",NA,0,0,"596785-MYM",3,"543808-OYB",4,"529307-BOG",3,"M",0,0,0,"yes"
"57","626665-BgbG","1989","13-Jan-90","13-Jan-90","Died",NA,0,0,"596785-MYM",3,"543808-OYB",4,"626750-RRR",1,"F",0,0,0,"yes"
"58","626666-WgbG2","1989","13-Jan-90","13-Jan-90","Died",NA,0,0,"596785-MYM",3,"543808-OYB",4,"529307-BOG",3,"M",0,0,0,"yes"
"59","626671-OboB2","1989","13-Jan-90","20-May-90","Died",NA,1,1,"596825-MWM",2,"543829-RYG",3,"543829-RYG",3,"F",0,0,0,"no"
"60","626672-RnyB2","1989","14-Jan-90","14-Jan-90","Died",NA,0,0,"596662-GYN",1,"433384-YRG",2,"433384-YRG",2,"M",0,0,0,"no"
